policy,k,bmax,total_waves,wave_index,measurement_phase,start_request,stop_request,wave_batch_size,is_full_wave,is_partial_wave,prompt_tokens,generated_tokens,prefill_wall_seconds,decode_wall_seconds,e2e_wall_seconds,prefill_prompt_tokens_per_second,decode_tokens_per_second,e2e_total_tokens_per_second,prefill_expert_h2d_fetches,decode_expert_h2d_fetches
permanent_k,80,2,100,4,steady_state,8,10,2,True,False,8192,256,1.4569974369951524,25.91369830799522,27.37069574499037,5622.521901544879,9.878944987216112,308.6512699095794,2052,16844
permanent_k,80,2,100,5,steady_state,10,12,2,True,False,8192,256,1.4817184279672801,23.37328446499305,24.85500289296033,5528.7157434076935,10.952675495111514,339.891330384545,1995,2149
permanent_k,80,2,100,6,steady_state,12,14,2,True,False,8192,256,1.3314060919801705,25.83667539997259,27.168081491952762,6152.893583216389,9.908395567034587,310.9531308827351,2075,16801
permanent_k,80,2,100,7,steady_state,14,16,2,True,False,8192,256,1.3020932439831086,25.640442152041942,26.94253539602505,6291.40811370823,9.984227201776736,313.55623647974755,1896,16931
permanent_k,80,2,100,8,steady_state,16,18,2,True,False,8192,256,1.2694824570207857,24.00033617502777,25.269818632048555,6453.023399177126,10.66651725763603,334.31185727964777,1725,5019
permanent_k,80,2,100,9,steady_state,18,20,2,True,False,8192,256,1.25378950801678,23.34914290596498,24.602932413981762,6533.79211392345,10.963999879181857,343.37370268915714,1578,2419
permanent_k,80,2,100,10,steady_state,20,22,2,True,False,8192,256,1.2615976379602216,24.01121573400451,25.27281337196473,6493.353945434618,10.661684224404127,334.27224249483095,2074,10587
permanent_k,80,2,100,11,steady_state,22,24,2,True,False,8192,256,1.2645883290097117,24.178064954990987,25.4426532840007,6477.997473229161,10.588109531369048,332.0408412479693,1869,16963
permanent_k,80,2,100,12,steady_state,24,26,2,True,False,8192,256,1.2420268899877556,23.911905460001435,25.15393234998919,6595.670404592255,10.70596404072537,335.85206012544717,1837,7854
permanent_k,80,2,100,13,steady_state,26,28,2,True,False,8192,256,1.2760610369732603,24.96110087801935,26.237161914992612,6419.755609364054,10.255957910311263,321.9860451130802,2058,17373
permanent_k,80,2,100,14,steady_state,28,30,2,True,False,8192,256,1.2484141699969769,23.588470949034672,24.83688511903165,6561.92487787914,10.852759407471321,340.13927106852015,1691,8395
permanent_k,80,2,100,15,steady_state,30,32,2,True,False,8192,256,1.2731313559925184,24.318480899964925,25.591612255957443,6434.528504416272,10.52697333575508,330.1081587008415,2160,15373
permanent_k,80,2,100,16,steady_state,32,34,2,True,False,8192,256,1.268832324014511,25.130857067008037,26.399689391022548,6456.329843553318,10.186680037111769,320.00376500159956,2084,16914
permanent_k,80,2,100,17,steady_state,34,36,2,True,False,8192,256,1.2690584709635004,24.696405728987884,25.965464199951384,6455.179321864052,10.365880881990655,325.35524629734203,2078,11255
permanent_k,80,2,100,18,steady_state,36,38,2,True,False,8192,256,1.2829651780193672,24.309908067982178,25.592873246001545,6385.208375372084,10.53068564817691,330.0918938954952,2241,8436
permanent_k,80,2,100,19,steady_state,38,40,2,True,False,8192,256,1.2620988420094363,25.269000410975423,26.53109925298486,6490.775308023578,10.130990376999959,318.41877034362096,2207,19314
permanent_k,80,2,100,20,steady_state,40,42,2,True,False,8192,256,1.2046408010064624,24.12110129703069,25.325742098037153,6800.367373540466,10.61311408826568,333.573640894604,1769,11852
permanent_k,80,2,100,21,steady_state,42,44,2,True,False,8192,256,1.2722620330168866,24.28294124099193,25.555203274008818,6438.925148598904,10.542380243783956,330.578470044577,2158,14373
permanent_k,80,2,100,22,steady_state,44,46,2,True,False,8192,256,1.2634470610064454,24.121549434028566,25.38499649503501,6483.849029237806,10.612916914817157,332.79500360192384,2024,8764
permanent_k,80,2,100,23,steady_state,46,48,2,True,False,8192,256,1.179927151009906,23.873018028971273,25.05294517998118,6942.801505150909,10.723403286896083,337.2058629957193,1741,3047
permanent_k,80,2,100,24,steady_state,48,50,2,True,False,8192,256,1.2055617989972234,24.424513789010234,25.630075588007458,6795.172181811036,10.481273126312416,329.6127618114749,1866,9565
permanent_k,80,2,100,25,steady_state,50,52,2,True,False,8192,256,1.2432583859772421,24.9928141819546,26.236072567931842,6589.13713544817,10.242944157318547,321.9994142845118,2137,19838
