policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
permanent_k,8,40,39,783331,61225,722106,722106,120,721986,0,0,0,0.07815980728453234,6814647189504,0.07815980728453231
permanent_k,8,40,40,764502,61217,703285,703285,120,703165,0,0,0,0.08007434905337069,6637029949440,0.08007434905337074
permanent_k,8,40,41,745064,61119,683945,683945,120,683825,0,0,0,0.0820318791405839,6454514810880,0.08203187914058385
permanent_k,8,40,42,737151,61342,675809,675809,119,675690,0,0,0,0.08321497223770978,6377733881856,0.0832149722377098
permanent_k,8,40,43,733987,61349,672638,672638,117,672521,0,0,0,0.08358322422604215,6347808571392,0.08358322422604214
permanent_k,8,40,44,739696,61380,678316,678316,118,678198,0,0,0,0.08298003504142243,6401392902144,0.08298003504142237
permanent_k,8,40,45,731526,61266,670260,670260,120,670140,0,0,0,0.0837509534862739,6325366947840,0.08375095348627393
permanent_k,8,40,46,752250,61141,691109,691109,118,690991,0,0,0,0.08127750083084082,6522122797056,0.08127750083084084
permanent_k,8,40,47,746547,61285,685262,685262,113,685149,0,0,0,0.08209128159379114,6466943582208,0.0820912815937912
quota_lru_k,8,40,0,835525,0,835525,835525,128,835397,835517,835525,0,0.0,7885003161600,0.0
quota_lru_k,8,40,1,833321,0,833321,833321,128,833193,833313,833321,0,0.0,7864203608064,0.0
quota_lru_k,8,40,2,771712,0,771712,771712,128,771584,771704,771712,0,0.0,7282788139008,0.0
quota_lru_k,8,40,3,812190,0,812190,812190,128,812062,812182,812190,0,0.0,7664786472960,0.0
quota_lru_k,8,40,4,783878,0,783878,783878,128,783750,783870,783878,0,0.0,7397600919552,0.0
quota_lru_k,8,40,5,789848,0,789848,789848,128,789720,789840,789848,0,0.0,7453940908032,0.0
quota_lru_k,8,40,6,785541,0,785541,785541,128,785413,785533,785541,0,0.0,7413294956544,0.0
quota_lru_k,8,40,7,785500,0,785500,785500,128,785372,785492,785500,0,0.0,7412908032000,0.0
quota_lru_k,8,40,8,811106,0,811106,811106,128,810978,811098,811106,0,0.0,7654556565504,0.0
quota_lru_k,8,40,9,792899,0,792899,792899,128,792771,792891,792899,0,0.0,7482733756416,0.0
quota_lru_k,8,40,10,790926,0,790926,790926,128,790798,790918,790926,0,0.0,7464114192384,0.0
quota_lru_k,8,40,11,802109,0,802109,802109,128,801981,802101,802109,0,0.0,7569650221056,0.0
quota_lru_k,8,40,12,775408,0,775408,775408,128,775280,775400,775408,0,0.0,7317667971072,0.0
quota_lru_k,8,40,13,765542,0,765542,765542,128,765414,765534,765542,0,0.0,7224560713728,0.0
quota_lru_k,8,40,14,769261,0,769261,769261,128,769133,769253,769261,0,0.0,7259657601024,0.0
quota_lru_k,8,40,15,783090,0,783090,783090,128,782962,783082,783090,0,0.0,7390164418560,0.0
quota_lru_k,8,40,16,751494,0,751494,751494,128,751366,751486,751494,0,0.0,7091987152896,0.0
quota_lru_k,8,40,17,735616,0,735616,735616,128,735488,735608,735616,0,0.0,6942143545344,0.0
quota_lru_k,8,40,18,768731,0,768731,768731,128,768603,768723,768731,0,0.0,7254655893504,0.0
quota_lru_k,8,40,19,780563,0,780563,780563,128,780435,780555,780563,0,0.0,7366316654592,0.0
quota_lru_k,8,40,20,791661,0,791661,791661,128,791533,791653,791661,0,0.0,7471050522624,0.0
quota_lru_k,8,40,21,774079,0,774079,774079,128,773951,774071,774079,0,0.0,7305125953536,0.0
quota_lru_k,8,40,22,785935,0,785935,785935,128,785807,785927,785935,0,0.0,7417013207040,0.0
quota_lru_k,8,40,23,785459,0,785459,785459,128,785331,785451,785459,0,0.0,7412521107456,0.0
quota_lru_k,8,40,24,776115,0,776115,776115,128,775987,776107,776115,0,0.0,7324340060160,0.0
quota_lru_k,8,40,25,761251,0,761251,761251,128,761123,761243,761251,0,0.0,7184065757184,0.0
quota_lru_k,8,40,26,778850,0,778850,778850,128,778722,778842,778850,0,0.0,7350150758400,0.0
quota_lru_k,8,40,27,786252,0,786252,786252,128,786124,786244,786252,0,0.0,7420004794368,0.0
quota_lru_k,8,40,28,756158,0,756158,756158,128,756030,756150,756158,0,0.0,7136002179072,0.0
quota_lru_k,8,40,29,771640,0,771640,771640,128,771512,771632,771640,0,0.0,7282108661760,0.0
quota_lru_k,8,40,30,768942,0,768942,768942,128,768814,768934,768942,0,0.0,7256647139328,0.0
quota_lru_k,8,40,31,779981,0,779981,779981,128,779853,779973,779981,0,0.0,7360824213504,0.0
quota_lru_k,8,40,32,798364,0,798364,798364,128,798236,798356,798364,0,0.0,7534307966976,0.0
quota_lru_k,8,40,33,785681,0,785681,785681,128,785553,785673,785681,0,0.0,7414616162304,0.0
quota_lru_k,8,40,34,783716,0,783716,783716,128,783588,783708,783716,0,0.0,7396072095744,0.0
